HOMO-3/LUMO,HOMO-3/LUMO+1,HOMO-3/LUMO+2,HOMO-3/LUMO+3,HOMO-2/LUMO,HOMO-2/LUMO+1,HOMO-2/LUMO+2,HOMO-2/LUMO+3,HOMO-1/LUMO,HOMO-1/LUMO+1,HOMO-1/LUMO+2,HOMO-1/LUMO+3,HOMO/LUMO,HOMO/LUMO+1,HOMO/LUMO+2,HOMO/LUMO+3,mulliken_dipole_tot,mulliken_quadrupoles
0.39187,0.40802,0.43007,0.47079,0.36866,0.38481,0.40686,0.44758,0.35472,0.37087,0.39292,0.4336399999999999,0.3183,0.33445,0.3565,0.39722,1.4732,9.650988358712285
0.39477,0.43176,0.47799,0.52561,0.34315,0.38014,0.42637,0.47399,0.33563,0.37262,0.41885,0.46647,0.3116,0.3485899999999999,0.3948199999999999,0.4424399999999999,2.4314,6.242364945542141
0.46293,0.48232,0.56047,0.57403,0.40408,0.42347,0.50162,0.51518,0.37234,0.39173,0.46988,0.48344,0.3624199999999999,0.38181,0.45996,0.4735199999999999,2.1451,4.397299348463782
0.47411,0.4861999999999999,0.55031,0.56423,0.47089,0.4829799999999999,0.54709,0.56101,0.3893399999999999,0.4014299999999999,0.4655399999999999,0.47946,0.3590899999999999,0.3711799999999999,0.4352899999999999,0.44921,1.3308,5.914670216785829
0.4669299999999999,0.48395,0.5435099999999999,0.54525,0.4666099999999999,0.48363,0.54319,0.54493,0.37848,0.3955,0.45506,0.4568,0.3565299999999999,0.37355,0.43311,0.4348499999999999,0.8844,7.441898612137451
0.46483,0.46742,0.53017,0.55091,0.45945,0.46204,0.52479,0.5455300000000001,0.39078,0.39337,0.4561199999999999,0.47686,0.37303,0.37562,0.43837,0.45911,0.0838,5.027091284231867
0.46988,0.48292,0.54213,0.54829,0.461,0.47404,0.53325,0.5394100000000001,0.38735,0.40039,0.4596,0.46576,0.35405,0.36709,0.4263,0.43246,0.8461,7.391645010415476
0.45443,0.4605399999999999,0.51249,0.53266,0.44969,0.4558,0.50775,0.5279200000000001,0.37621,0.38232,0.43427,0.45444,0.36868,0.3747899999999999,0.42674,0.44691,0.0722,4.8232819366070645
0.46894,0.48202,0.54593,0.5573,0.46238,0.47546,0.53937,0.55074,0.38809,0.4011699999999999,0.4650799999999999,0.47645,0.35813,0.37121,0.4351199999999999,0.44649,1.3755,7.004999857244823
0.38614,0.39229,0.39289,0.40098,0.38554,0.39169,0.39229,0.40038,0.3831299999999999,0.38928,0.38988,0.39797,0.37024,0.37639,0.37699,0.38508,0.0,8.58904411988513
0.46549,0.4811,0.54325,0.55237,0.4603399999999999,0.47595,0.5381,0.54722,0.3922899999999999,0.4079,0.4700499999999999,0.47917,0.35175,0.36736,0.42951,0.43863,1.2205,6.56673947810733
0.46961,0.48483,0.54483,0.5605100000000001,0.46607,0.48129,0.5412899999999999,0.55697,0.38206,0.39728,0.45728,0.47296,0.35509,0.37031,0.4303099999999999,0.44599,1.4899,6.119660278152701
0.47108,0.4871,0.55192,0.56498,0.46415,0.48017,0.54499,0.55805,0.38276,0.39878,0.4636,0.47666,0.35886,0.37488,0.4397,0.45276,1.0198,7.663317498316249
